Date,Open,High,Low,Close,Adj Close,Volume,
09/20/2021,359.30,361.03,340.69,352.96,351.30,115875800,
09/13/2021,381.68,381.75,361.59,364.72,363.01,77911400,
09/06/2021,375.88,383.79,373.15,378.69,376.91,42509500,
08/30/2021,372.56,384.33,370.52,376.26,374.50,59802400,
08/23/2021,359.44,373.74,359.10,372.63,370.88,48969400,
08/16/2021,362.52,366.95,351.00,359.37,357.68,54295400,
08/09/2021,363.76,365.78,357.11,363.18,361.48,38035500,
08/02/2021,358.10,365.15,347.70,363.51,361.80,58939300,
07/26/2021,369.58,377.55,352.94,356.30,354.63,109696900,
07/19/2021,337.57,375.33,334.50,369.79,368.06,80756000,
07/12/2021,351.23,358.49,340.14,341.16,339.56,61176500,
07/05/2021,356.50,358.79,342.56,350.42,348.78,55132600,
06/28/2021,342.46,358.14,341.77,354.70,353.04,94339200,
06/21/2021,331.09,344.90,327.65,341.37,339.77,68424100,
06/14/2021,331.90,339.92,328.72,329.66,328.11,86111800,
06/07/2021,329.48,338.30,328.55,331.26,329.71,75273200,
05/31/2021,330.15,332.46,323.48,330.35,328.80,49320400,
05/24/2021,318.21,333.78,318.03,328.73,327.19,75084400,
05/17/2021,313.55,319.93,303.57,316.23,314.75,79951000,
05/10/2021,314.35,316.85,298.19,315.94,314.46,105129700,
05/03/2021,326.17,328.55,313.12,319.08,317.58,93258600,
04/26/2021,303.34,331.81,301.11,325.08,323.56,148248300,
04/19/2021,305.01,307.70,296.04,301.13,299.72,80125600,
04/12/2021,311.05,314.43,301.95,306.18,304.74,69957700,
04/05/2021,300.89,315.88,300.68,312.46,310.99,105310100,
03/29/2021,285.77,302.40,284.70,298.66,297.26,76307500,
03/22/2021,290.45,299.71,277.75,283.02,281.69,112083800,
03/15/2021,269.08,292.80,268.50,290.11,288.75,118256300,
03/08/2021,265.55,277.90,255.05,268.40,267.14,97076000,
03/01/2021,260.82,266.71,253.50,264.28,263.04,111309100,
02/22/2021,257.95,267.46,254.04,257.62,256.41,100768200,
02/15/2021,270.80,276.60,260.15,261.56,260.33,69052100,
02/08/2021,268.75,273.80,265.00,270.50,269.23,64982000,
02/01/2021,259.52,269.20,254.91,268.10,266.84,82972900,
01/25/2021,278.14,286.79,254.85,258.33,257.12,141955100,
01/18/2021,256.90,278.47,252.72,274.50,273.21,96021100,
01/11/2021,260.48,263.47,244.61,251.36,250.18,131007000,
01/04/2021,274.78,275.00,260.01,267.57,266.31,83649900,
12/28/2020,268.74,280.51,265.66,273.16,271.88,64386900,
12/21/2020,272.98,274.67,264.63,267.40,266.15,54897600,
12/14/2020,273.37,280.44,267.47,276.40,275.10,99312400,
12/07/2020,279.19,288.49,270.25,273.55,272.27,83401600,
11/30/2020,276.03,291.78,271.01,279.70,278.39,78595800,
11/23/2020,270.89,280.18,264.53,277.81,276.51,58196600,
11/16/2020,275.05,279.41,269.19,269.70,268.43,71242000,
11/09/2020,289.87,292.58,264.00,276.95,275.65,92433100,
11/02/2020,264.60,297.38,257.34,293.41,292.03,118206600,
10/26/2020,283.16,285.23,259.10,263.11,261.88,140347800,
10/19/2020,265.53,285.24,259.88,284.79,283.45,95604000,
10/12/2020,270.20,280.18,263.67,265.93,264.68,96699200,
10/05/2020,262.20,265.69,254.82,264.45,263.21,85073200,
09/28/2020,259.40,268.33,254.82,259.94,258.72,95546400,
09/21/2020,247.54,257.99,244.13,254.82,253.62,113001900,
09/14/2020,270.95,276.64,250.05,252.53,251.35,131167900,
09/07/2020,271.28,279.30,262.64,266.61,265.36,91511400,
08/31/2020,293.95,303.60,271.14,282.73,281.40,121610200,
08/24/2020,271.07,304.67,268.77,293.66,292.28,182286700,
08/17/2020,262.50,270.49,259.26,267.01,265.76,91171300,
08/10/2020,268.04,273.86,255.13,261.24,260.01,112069500,
08/03/2020,252.65,278.89,247.43,268.44,267.18,171366500,
07/27/2020,231.46,255.85,229.00,253.67,252.48,114541900,
07/20/2020,240.06,246.91,226.90,230.71,229.63,95761900,
07/13/2020,247.01,250.15,232.03,242.03,240.89,104219700,
07/06/2020,233.76,247.65,232.27,245.07,243.92,129042900,
06/29/2020,209.75,240.00,207.11,233.42,232.33,166474700,
06/22/2020,238.56,245.19,215.40,216.08,215.07,158818800,
06/15/2020,225.09,240.83,224.80,238.79,237.67,96018900,
